Kuupaev,temperatuur,niiskus,valgus,pNiiskus,taimeKorgus
2019-05-05 19:58:44,24.1,23.6,388,713,14
2019-05-05 20:28:55,23.8,24.2,239,709,13
2019-05-05 20:59:06,23.6,24.8,82,715,13
2019-05-05 21:29:17,23.2,25.3,16,716,13
2019-05-05 21:59:28,22.8,26.3,0,718,13
2019-05-05 22:29:39,22.4,27,1,720,12
2019-05-05 22:59:50,22,27.3,1,722,12
2019-05-05 23:30:01,21.7,27.6,1,724,13
2019-05-06 00:00:12,21.5,28.1,1,725,12
2019-05-06 00:30:23,21.3,28.3,1,727,7
2019-05-06 01:00:34,21.1,28.2,1,728,7
2019-05-06 01:30:45,21,28.2,1,727,12
2019-05-06 02:00:56,21,28.2,1,725,-169
2019-05-06 02:31:07,20.9,28.4,1,727,-476
2019-05-06 03:01:18,20.8,28.2,1,732,6
2019-05-06 03:31:29,20.7,28.3,1,732,-3098
2019-05-06 04:01:40,20.7,28.4,1,734,16
2019-05-06 04:31:51,20.7,28.5,0,735,17
2019-05-06 05:02:03,20.6,28.9,14,734,3
2019-05-06 05:32:14,20.6,29,65,738,4
2019-05-06 06:02:25,20.6,29.2,144,735,6
2019-05-06 06:32:35,20.6,29.3,236,735,15
2019-05-06 07:02:47,20.7,29.2,355,736,6
2019-05-06 07:32:57,20.9,29.1,514,737,5
2019-05-06 08:03:08,21.1,29,717,738,6
2019-05-06 08:33:19,21.5,28.8,890,741,4
2019-05-06 09:03:31,21.8,28.3,1069,738,4
2019-05-06 09:33:41,22.2,27.5,1243,736,5
2019-05-06 10:03:52,22.6,26.6,1378,754,5
2019-05-06 10:34:03,23.2,25.5,1439,761,6
2019-05-06 11:04:14,23.7,24.8,1427,759,6
2019-05-06 11:34:25,24.1,23.7,1457,760,6
2019-05-06 12:04:36,24.2,22.9,1458,763,7
2019-05-06 12:34:47,24.7,21.5,1498,765,7
2019-05-06 13:04:58,25.2,20.8,1731,776,7
2019-05-06 13:35:09,25.5,20.2,1951,786,7
2019-05-06 14:05:20,26.1,19.3,2569,787,7
2019-05-06 14:35:31,26.3,19,910,782,7
2019-05-06 15:05:42,26.6,18.4,1855,776,7
2019-05-06 15:35:53,26.6,18.2,1601,778,7
2019-05-06 16:06:04,26.9,17.9,1739,775,7
2019-05-06 16:36:15,26.5,17.9,1182,769,6
2019-05-06 17:06:26,26.2,17.9,1365,773,5
2019-05-06 17:36:37,26.3,18.3,1311,768,5
